image,question,answer
image275,"Is a myofiber distended with trypanosomes present,  along with mononuclear inflammation and myofiber necrosis?",yes
image276,Does the specimen show compressed kidney at the lower end while the upper end shows a large spherical tumour separate from the kidney?,yes
image276,What shows compressed kidney at the lower end while the upper end shows a large spherical tumour separate from the kidney?,specimen
image276,Does wide base show a large spherical tumour separate from the kidney?,no
image276,Does the alveoli and respiratory bronchioles surrounding the coal macule show compressed kidney at the lower end while the upper end shows a large spherical tumour separate from the kidney?,no
image276,"Does 2 and 3 show cystic change while solid areas show dark brown, necrotic and haemorrhagic tumour?",no
image276,"Do b, h&e show dark brown, necrotic and haemorrhagic tumour?",no
image276,"Does Cut surface of tumour show cystic change while solid areas show dark brown, necrotic and haemorrhagic tumour?",yes
image276,"Do solid areas show dark brown, necrotic and haemorrhagic tumour?",yes
image276,Does the upper end show a large spherical tumour separate from the kidney?,yes
image277,Does dermoid cyst have adnexal structures in the cyst wall ie in addition to features of epidermal cyst?,yes
image277,Does taghorn renal stone with chronic pyelonephritisthe kidney have adnexal structures in the cyst wall ie in addition to features of epidermal cyst?,no
image278,Does the blue area contain an inflammatory infiltrate around small blood vessels that has obliterated a vessel in B?,no
image278,Does the perineurial connective tissue contain an inflammatory infiltrate around small blood vessels that has obliterated a vessel in B?,yes
image279,Does the amputated head of the long bone show mushroom-shaped elevated nodular areas?,yes
image279,Does the deposition show mushroom-shaped elevated nodular areas?,no
image279,What have cartilaginous caps and inner osseous tissue?,nodules
image279,Do these nodules have cartilaginous caps and inner osseous tissue?,yes
image279,Do these granulomas have cartilaginous caps and inner osseous tissue?,no
image280,Does the sectioned surface of the lung parenchyma show presence of minute millet-seed sized tubercles?,yes
image280,"Does normal non-activated platelet, having open canalicular system and the cytoplasmic organelles show presence of minute millet-seed sized tubercles?",no
image281,"Is there abundant amyloid deposition,  characteristic of an insulinoma?",yes
image282,Is Fig.653 more cellular and disorganized than this?,no
image283,Is collagen the product of Pseudomonas infections?,no
image283,Are extensive mucous plugging and dilation of the tracheobronchial tree apparent?,yes
image283,Are low-power view of a thrombosed artery apparent?,no
image283,Is the greenish discoloration the product of Pseudomonas infections?,yes
image283,Is the pulmonary parenchyma consolidated by a combination of both secretions and pneumonia?,yes
image283,Is numerous friable mural thrombi consolidated by a combination of both secretions and pneumonia?,no
image284,Are most of the hepatocytes distended with large lipid vacuoles with peripherally displaced nuclei?,yes
image284,Are a few areas distended with large lipid vacuoles with peripherally displaced nuclei?,no
image285,Does the margin of the colony show hyaline filaments highlighted by masson 's trichrome stain right photomicrograph?,yes
image285,Does primary syphilis: primary lesion show hyaline filaments highlighted by masson 's trichrome stain right photomicrograph?,no
image286,"Do common stains include multiple, variable-sized, nodular masses, often under the capsule, producing umbilication on the surface?",no
image286,Is metastatic tumour deposits in the liver as seen on sectioned surface?,yes
image286,"Do characteristic features include multiple, variable-sized, nodular masses, often under the capsule, producing umbilication on the surface?",yes
image286,What do characteristic features include?,multiple
image286,Is the vascular spaces seen on sectioned surface?,no
image287,Does periodic acid-Schiff stain after diastase digestion of the liver?,yes
image287,Does a peripheral blood smear stain after diastase digestion of the liver?,no
image288,Has the palisade of cartilage contracted the upper lobe into a small dark mass?,no
image288,Has scarring contracted the upper lobe into a small dark mass?,yes
image288,What has contracted the upper lobe into a small dark mass?,scarring
image289,Is there accumulation of large numbers of macrophages within the alveolar spaces with only slight fibrous thickening of the alveolar walls?,yes
image290,"Are the available anabolic circuits largely replaced by plasma cells,  including atypical forms with multiple nuclei,  prominent nucleoli,  and cyto-plasmic droplets containing immunoglobulin?",no
image290,"Are normal marrow cells largely replaced by plasma cells,  including atypical forms with multiple nuclei,  prominent nucleoli,  and cyto-plasmic droplets containing immunoglobulin?",yes
image291,Are histologic features characteristic?,no
image291,Are loosely formed interstitial granulomas and chronic inflammation characteristic?,yes
image292,Does the sequence on left show uniform cells having high mitotic rate?,no
image292,Does the tumour show uniform cells having high mitotic rate?,yes
image293,"Does the surrounding zone show coagulativenecrosis of the skin, muscle and other soft tissue, and thrombsed vessels?",no
image293,"Does microscopy show coagulativenecrosis of the skin, muscle and other soft tissue, and thrombsed vessels?",yes
image293,"What shows coagulativenecrosis of the skin, muscle and other soft tissue, and thrombsed vessels?",microscopy
image294,"Is the interface between viable and non-viable area eosinophilic, amorphous, granular material, while the periphery shows granulomatous inflammation?",no
image294,Does the periphery show granulomatous inflammation?,yes
image294,Does the surrounding zone show granulomatous inflammation?,no
image294,"Is there eosinophilic, amorphous, granular material, while the periphery shows granulomatous inflammation?",yes
image294,What is there?,eosinophilic
image295,Is the congo red staining sharply demarcated from the whiter breast tissue?,no
image295,"Is the tan-colored,  encapsulated small tumor sharply demarcated from the whiter breast tissue?",yes
image296,Is there consolidation of lung parenchyma surrounding the cavity?,yes
image296,Is aemosiderin pigment in the cytoplasm of hepatocytes right?,no
image296,Is cavitary/open fibrocaseous tuberculos right?,yes
image296,Where is cavitary/open fibrocaseous tuberculos?,right  
image296,What is there of lung parenchyma surrounding the cavity?,consolidation
image296,Is the affected area shows consolidation of lung parenchyma surrounding the cavity?,no
image297,Are masson trichrome markedly thinned?,no
image297,Are the trabecular bone of the medulla and the cortical bone markedly thinned?,yes
image298,What is there of dystrophic calcification?,presence
image298,What is there of acinar tissue?,destruction
image298,Is the necrotic tissue surrounded by mixed inflammatory infiltrate with granulation tissue formation?,yes
image298,Is infarcted area surrounded by mixed inflammatory infiltrate with granulation tissue formation?,no
image298,Is there destruction of acinar tissue and presence of dystrophic calcification?,yes
image298,Is inbox destruction of acinar tissue and presence of dystrophic calcification?,no
image299,Are the islets mostly replaced by structureless eosinophilic material which stains positively with Congo red?,yes
image299,Are koilocytes and virus-infected keratinocytes mostly replaced by structureless eosinophilic material which stains positively with Congo red?,no
image299,What are mostly replaced by structureless eosinophilic material which stains positively with Congo red?,islets
image300,"Is cut surface of the enlarged thyroid gland presence of aneurysmal spaces filled with blood, partly lined by endothelium and separated by connective tissue septa containing osteoclast-like giant cells along the wall of vascular spaces?",no
image300,"Is histologic hallmark of lesion presence of aneurysmal spaces filled with blood, partly lined by endothelium and separated by connective tissue septa containing osteoclast-like giant cells along the wall of vascular spaces?",yes
image301,What is spindled to polygonal cells?,anaplastic
image301,Does undifferentiated pleomorphic sarcoma show anaplastic spindled to polygonal cells?,yes
image301,Is carcinoma in situ spindled to polygonal cells?,no
image302,Is examination of bone marrow somewhat delineated from the adjacent breast parenchyma as compared to irregular margin of IDC?,no
image302,Does epithelial show a large grey white soft fleshy tumour replacing almost whole of the breast?,no
image302,What is somewhat delineated from the adjacent breast parenchyma as compared to irregular margin of IDC?,tumour
image302,Does cut surface of the breast show a large grey white soft fleshy tumour replacing almost whole of the breast?,yes
image302,Is the tumour somewhat delineated from the adjacent breast parenchyma as compared to irregular margin of IDC?,yes
image303,"Are acute contusions present in both temporal lobes,  with areas of hemorrhage and tissue disruption?",yes
image303,"Are the surrounding acinar structures present in both temporal lobes,  with areas of hemorrhage and tissue disruption?",no
image304,Does the lumen show an elevated blackish ulcerated area with irregular outlines?,no
image304,Is an elevated blackish ulcerated area with irregular outlines?,yes
image304,Does the hemimaxillectomy specimen show an elevated blackish ulcerated area with irregular outlines?,yes
image305,"Are the lipofuscin pigment granules large, polyhedral and pleomorphic having abundant granular cytoplasm?",no
image305,"Are the tumour cells large, polyhedral and pleomorphic having abundant granular cytoplasm?",yes
image305,What has typical zellballen or nested pattern?,tumour
image305,Does the tumour have typical zellballen or nested pattern?,yes
image305,Does the alveolar lumina have typical zellballen or nested pattern?,no
image305,How are the tumour cells?,large
image306,Are bronchial biopsy specimen from an asthmatic patient intact?,no
image306,Are portal tracts and the periportal parenchyma intact?,yes
image306,Are aortic elastic layers not easily seen?,no
image306,Are atrophied hepatocytes not easily seen?,yes
image307,Does the injurious stimulus have a grossly normal appearance in this heart?,no
image307,Does fish use a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma have a grossly normal appearance in this heart?,no
image307,Does the left ventricle have a grossly normal appearance in this heart?,yes
image307,"Is the right ventricle markedly dilated with focal,  almost transmural replacement of the free wall by adipose tissue and fibrosis?",yes
image307,What is the right ventricle markedly dilated with?,focal
image308,Does nodule-in-nodule growth suggest an evolving cancer?,yes
image308,Does Escherichia suggest an evolving cancer?,no
image309,Is embolus derived from a lower-extremity deep venous thrombus lodged in a pulmonary artery branch?,yes
image309,Is edema lodged in a pulmonary artery branch?,no
image309,What is lodged in a pulmonary artery branch?,embolus
image310,Is diagrammatic representation of pathologic changes in chronic hepatitis contrasted with normal morphology?,yes
image310,Is details contrasted with normal morphology?,no
image310,Does extension of fibrous spur into lobules?,yes
image310,"Does one marrow show stellate-shaped portal triad, with extension of fibrous spurs into lobules?",no
image310,Are the mature red cells destroyed?,no
image310,Are hepatocytes at the interface of portal tract and lobule destroyed?,yes
image310,Is congo red expanded due to increased lymphomononuclear inflammatory cells which are seen to breach the limiting plate ie?,no
image310,Is the portal tract expanded due to increased lymphomononuclear inflammatory cells which are seen to breach the limiting plate ie?,yes
image310,"Does photomicrograph on right show stellate-shaped portal triad, with extension of fibrous spurs into lobules?",yes
image310,Does the open wound spur into lobules?,no
image311,"Are the microscopic features seen superficial ulcerations, with mucosal infiltration by inflammatory cells and a 'crypt abscess '?",yes
image311,"Are epithelial follicles superficial ulcerations, with mucosal infiltration by inflammatory cells and a 'crypt abscess '?",no
image312,Does luminal surface of longitudinal cut section show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?,yes
image312,Does the corresponding area show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?,no
image312,Is aboratory findings of itp shown in longitudinal section along with a segment in cross section?,no
image312,"Does external surface show increased mesenteric fat, thickened wall and narrow lumen?",yes
image312,"Does aboratory findings of itp show increased mesenteric fat, thickened wall and narrow lumen?",no
image312,Is the specimen of small intestine shown in longitudinal section along with a segment in cross section?,yes
image313,Does the congested portion of the ileum stain?,no
image314,Did atrophy differentiate hepatocellular carcinoma within it?,no
image315,"Is failure to stain seen with antibodies against various nuclear antigens,  including Sm and RNPs?",no
image315,"Is immunoperoxidase staining seen with antibodies against various nuclear antigens,  including Sm and RNPs?",no
image315,"Is the wall of the artery seen with antibodies against various nuclear antigens,  including Sm and RNPs?",no
image315,"Is a speckled pattern seen with antibodies against various nuclear antigens,  including Sm and RNPs?",yes
image316,Are major blood vessels visible?,yes
image316,Are carcinoid tumors visible?,no
image317,One cusp has a partial fusion at whose center ?,its
image318,What shows a close-up view of pseudorosette?,inset
image318,Does inset show a close-up view of pseudorosette?,yes
image318,Are a few HomerWright 's pseudorosettes also present?,yes
image318,"Does iron on absorption from upper small intestine show small, round to oval cells forming irregular sheets separated by fibrovascular stroma?",no
image318,"Does neuroblastoma show small, round to oval cells forming irregular sheets separated by fibrovascular stroma?",yes
image318,"What shows small, round to oval cells forming irregular sheets separated by fibrovascular stroma?",neuroblastoma
image318,Does the incised wound as well as suture track on either side show a close-up view of pseudorosette?,no
image319,What shows a prominent atypical mitotic figure ?,photomicrograph
image319,Does photomicrograph show a prominent atypical mitotic figure ?,yes
image319,Does the granuloma show a prominent atypical mitotic figure ?,no
image319,"Do 3 components: ghon's focus, contain fine granular melanin pigment?",no
image319,Are the lesions seen as solid masses in the dermis?,no
image319,Does the portal tract show junctional activity at the dermal-epidermal junction?,no
image319,Does alignant melanoma show junctional activity at the dermal-epidermal junction?,yes
image319,Do many of the tumour cells contain fine granular melanin pigment?,yes
image319,Are tumour cells resembling epithelioid cells with pleomorphic nuclei and prominent nucleoli seen as solid masses in the dermis?,yes
image320,Do the tumour cells show nuclear positivity with ER and PR antibody immunostains?,yes
image320,Do typhoid ulcers in the small intestine show nuclear positivity with ER and PR antibody immunostains?,no
image321,How much cell are characteristic histologic features?,one
image322,Do the alveolar capillaries plague?,no
image323,Does the epidermis show a solitary nodule having capsule?,no
image323,Does sectioned surface of the thyroid show a solitary nodule having capsule?,yes
image324,Does the drainage tract in the subperiosteal shell of viable new bone show the inner native necrotic cortex (sequestrum)?,yes
image324,Does the anterior mitral leaflet show the inner native necrotic cortex (sequestrum)?,no
image325,"Does the blue area show fibrosis,  contrasted with the normal kidney right in this trichrome stain?",yes
image325,Is the embolus shown (bottom right)?,no
image325,"Does the tissue factor show fibrosis,  contrasted with the normal kidney right in this trichrome stain?",no
image325,Does a speckled pattern result from arteriosclerosis of arteries and arterioles in a chronically rejecting kidney allograft?,no
image325,Do interstitial fibrosis and tubular atrophy result from arteriosclerosis of arteries and arterioles in a chronically rejecting kidney allograft?,yes
image325,"What does the blue area show in this trichrome stain,  contrasted with the normal kidney (top right)?",fibrosis
image325,Is an artery showing prominent arteriosclerosis shown (bottom right)?,yes
image326,Are there blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?,yes
image326,Are the cyst wall blood-filled vascular channels lined by endothelial cells and surrounded by nests and masses of glomus cells?,no
image327,Are the tubular epithelial cells thick with prominent vesicular nuclei?,no
image327,Are individual myocardial fibres thick with prominent vesicular nuclei?,yes
image328,Are t_h 17 cells in granuloma formation present?,no
image328,Are characteristic peribronchial noncaseating granulomas with many giant cells present?,yes
image329,"Are part of the endocervical mucosa alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?",no
image329,"Are there alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?",yes
image330,Are the sharply punched-out bone defects most obvious in the calvaria?,yes
image330,Are t_h2 cells most obvious in the calvaria?,no
image331,"What shows fibrin cap on luminal surface, layer of bacteria, and deeper zone of inflammatory cells, with prominence of neutrophils?",b
image331,"Does chematic representation of mechanisms show fibrin cap on luminal surface, layer of bacteria, and deeper zone of inflammatory cells, with prominence of neutrophils?",no
image331,"Does section of the mitral valve show fibrin cap on luminal surface, layer of bacteria, and deeper zone of inflammatory cells, with prominence of neutrophils?",yes
image332,Does line of demarcation between gangrenous segment and the viable bowel show presence of plae waxy translucency in a map-like pattern?,no
image332,Does the sectioned surface show presence of plae waxy translucency in a map-like pattern?,yes
image333,Is there acute panarteritis?,yes
image333,Is the lumen occluded by a thrombus containing microabscesses?,yes
image333,Is bone marrow in itp occluded by a thrombus containing microabscesses?,no
image333,Is each fibril acute panarteritis?,no
image334,"Do cells surround the vascular lumina in a whorled fashion, highlighted by reticulin stain?",yes
image334,Do suspension of leucocytes above have bland nuclei and few mitoses?,no
image334,"Do the alveolar capillaries surround the vascular lumina in a whorled fashion, highlighted by reticulin stain?",no
image334,Do these tumour cells have bland nuclei and few mitoses?,yes
image335,Are there two LE cells having rounded masses of amorphous nuclear material which has displaced the lobes of neutrophil to the rim of the cell?,yes
image335,Are part of the endocervical mucosa two LE cells having rounded masses of amorphous nuclear material which has displaced the lobes of neutrophil to the rim of the cell?,no
image336,Has this abnormality laid down a triangular shell of reactive bone known as a Codman triangle?,no
image336,"Has the periosteum,  which has been lifted,  laid down a triangular shell of reactive bone known as a Codman triangle?",yes
image337,Does the graft damage have an abnormal tripolar spindle?,no
image337,Does the prominent cell in the center field have an abnormal tripolar spindle?,yes
image337,Do the majority of tissue macrophages show cellular and nuclear variation in size and shape?,no
image337,Does high-power detailed view of anaplastic tumor cells show cellular and nuclear variation in size and shape?,yes
image338,"Does the lumen of the gallbladder contain irregular, friable papillary growth arising from mucosa arrow?",yes
image338,"Does semisolid aspirates contain irregular, friable papillary growth arising from mucosa arrow?",no
image338,How many multi-faceted gallstones are also present in the lumen?,two
image338,Are two multi-faceted gallstones also present in the lumen?,yes
image338,Are lassification of chromosomes also present in the lumen?,no
image338,What does the lumen of the gallbladder contain?,irregular
image339,Are the alveolar spaces as well as interstitium seen at the periphery?,no
image339,Are some macrophages seen at the periphery?,yes
image340,Are there scattered immature adipocytes and more primitive round-to-stellate cells in myxoid liposarcoma with abundant ground substance and a rich capillary network?,yes
image341,Are regenerative myofibers characterized by cytoplasmic basophilia and enlarged nucleoli not visible at this power?,yes
image341,Are the least common but molecularly most distinctive type of breast cancer infiltrated by variable numbers of inflammatory cells?,no
image341,Are necrotic cells infiltrated by variable numbers of inflammatory cells?,yes
image341,Are apoptotic cells in colonic epithelium associated with segmental necrosis and regeneration of individual myofibers?,no
image341,Are congenital capillary hemangioma at 2 years of age after the lesion characterized by cytoplasmic basophilia and enlarged nucleoli not visible at this power?,no
image341,Are myopathic conditions associated with segmental necrosis and regeneration of individual myofibers?,yes
image342,What are in the epidermal layers containing large tumour cells?,clefts
image342,Are clefts in the epidermal layers containing large tumour cells?,yes
image342,Are these cases clefts in the epidermal layers containing large tumour cells?,no
image342,Is the sectioned surface of the lung clefts in the epidermal layers containing large tumour cells?,no
image342,Are there clefts in the epidermal layers containing large tumour cells?,yes
image343,"Do epithelial follicles include: lymphoid cell infiltration with formation of lymphoid follicles having germinal centres ; small, atrophic and colloid-deficient follicles ; presence of Hurthle cells which have granular oxyphil cytoplasm and large irregula",no
image343,"Do histologic features include: lymphoid cell infiltration with formation of lymphoid follicles having germinal centres ; small, atrophic and colloid-deficient follicles ; presence of Hurthle cells which have granular oxyphil cytoplasm and large irregular",yes
image344,Do both positive and negative feedback controls exist for each endocrine gland having a regulating hormone?,yes
image344,Do the lumen exist for each endocrine gland having a regulating hormone?,no
image345,Is a thrombosed artery stained for elastic tissue?,yes
image346,"Does the septal muscle bulge into the left ventricular outflow tract,  giving rise to a banana-shaped ventricular lumen?",yes
image346,Is a liver enlarged?,no
image346,Is the left atrium enlarged?,yes
image346,"Does acute endocarditis bulge into the left ventricular outflow tract,  giving rise to a banana-shaped ventricular lumen?",no
image346,Has low-power view of a cross section of a skin blister showing the epidermis been moved away from the septum to reveal a fibrous endocardial plaque see text?,no
image346,Has the anterior mitral leaflet been moved away from the septum to reveal a fibrous endocardial plaque see text?,yes
image347,Is there marked left atrial dilation as seen from above the valve?,yes
image347,Is high-power view of another region marked left atrial dilation as seen from above the valve?,no
image348,"Is the embolus pale,  with a hemorrhagic margin?",no
image348,"Is the distal hepatic tissue pale,  with a hemorrhagic margin?",yes
image348,How is the distal hepatic tissue?,pale
image349,"Is the glans penis deformed by an ulcerated,  infiltrative mass?",yes
image350,Do the principal cellular alterations that characterize reversible cell injury and necrosis stand out in contrast?,no
image350,"Does scattered,  fully hemoglobinized cells,  from a recent blood transfusion,  stand out in contrast?",yes
image350,What stands out in contrast?,scattered
image351,Do those with tumors that had mycn amplification contain several fragmented red cells?,no
image351,Does this specimen from a patient with hemolytic uremic syndrome contain several fragmented red cells?,yes
image352,What are superficial with intervening inflammatory pseudopolyps?,ulcers
image352,Are the congophilic areas narrow?,no
image352,Is the lumen narrow?,yes
image352,What is narrow?,lumen
image352,Are irregular nuclear folds lost giving 'garden-hose appearance '?,no
image352,Are the haustral folds lost giving 'garden-hose appearance '?,yes
image352,Are the individual tumour cells superficial with intervening inflammatory pseudopolyps?,no
image352,Are the ulcers superficial with intervening inflammatory pseudopolyps?,yes
image353,"Are others,  such as methylation of particular histone residues,  visible along the line of closure of the mitral valve leaflets?",no
image353,Have the effector arms of these central circuits caused fibrous thickening and fusion of the chordae tendineae?,no
image353,Have previous episodes of rheumatic valvulitis caused fibrous thickening and fusion of the chordae tendineae?,yes
image353,Is acute rheumatic mitral valvulitis superimposed on chronic rheumatic heart disease?,yes
image353,Is granulation tissue superimposed on chronic rheumatic heart disease?,no
image353,Are small vegetations visible along the line of closure of the mitral valve leaflets?,yes
image354,Has the white circles caused severe hepatic congestion?,no
image354,Has thrombosis of the major hepatic veins caused severe hepatic congestion?,yes
image355,Are tumour cells resembling epithelioid cells with pleomorphic nuclei and prominent nucleoli arranged in storiform or cartwheel pattern?,no
image355,Are the tumour cells arranged in storiform or cartwheel pattern?,yes
image356,"Do masses of large uniform tumour cells include formation of solid nests, cords, gland-like structures and intraductal growth pattern of anaplastic tumour cells?",no
image356,"Do microscopic features include formation of solid nests, cords, gland-like structures and intraductal growth pattern of anaplastic tumour cells?",yes
image356,Is side infiltration of densely collagenised stroma by these cells in a haphazard manner?,no
image356,Is there infiltration of densely collagenised stroma by these cells in a haphazard manner?,yes
image356,What is there of densely collagenised stroma by these cells in a haphazard manner?,infiltration
image357,Is stanford type crusted and ulcerated?,no
image357,Is the region of nipple and areola crusted and ulcerated?,yes
image358,Is the dermis invaded by downward proliferating epidermal masses of cells which show atypical features?,yes
image358,What is invaded by downward proliferating epidermal masses of cells which show atypical features?,dermis
image358,Is a partly formed unerupted tooth invaded by downward proliferating epidermal masses of cells which show atypical features?,no
image358,Are a few horn pearls with central laminated keratin present?,yes
image358,Are external surface shows present?,no
image358,Is there inflammatory reaction in the dermis between the masses of tumour cells?,yes
image359,Is the spleen converted into lamellar bone and internal callus developing bone marrow cavity?,no
image359,Is Intermediate callus converted into lamellar bone and internal callus developing bone marrow cavity?,yes
image360,Does the silicotic nodule show a solitary nodule having capsule?,no
image360,What shows a solitary nodule having capsule?,epidermis
image360,Does sectioned surface of the thyroid show a solitary nodule having capsule?,yes
image361,Are the deposits seen at the periphery?,no
image361,Are some macrophages seen at the periphery?,yes
image362,Is there orderly differentiation of squamous cells?,no
image362,Does the low-power view show that the entire thickness of the epithelium is replaced by atypical dysplastic cells?,yes
image362,Is the transmural light area in the posterolateral left ventricle replaced by atypical dysplastic cells?,no
image362,Do interstitial fibrosis and tubular atrophy show that the entire thickness of the epithelium is replaced by atypical dysplastic cells?,no
image362,What is orderly differentiation of squamous cells?,no
image362,Is the prominent cell in the center field intact?,no
image362,Is the basement membrane intact?,yes
image362,Is the entire thickness of the epithelium replaced by atypical dysplastic cells?,yes
image362,Is the section of an involved lacrimal gland no tumor in the subepithelial stroma?,no
image362,Is there no tumor in the subepithelial stroma?,yes
image362,Is Margin P orderly differentiation of squamous cells?,no
image363,"Does the glomerulus show inflammatory cells within the capillary loops glomerulitis,  accumulation of mesangial matrix,  and duplication of the capillary basement membrane?",yes
image363,"Does the extensive subcutaneous fibrosis show inflammatory cells within the capillary loops glomerulitis,  accumulation of mesangial matrix,  and duplication of the capillary basement membrane?",no
image364,Does extensive mucous plugging and dilation of the tracheobronchial tree fill most of the medullary cavity of the metaphysis and proximal diaphysis?,no
image364,Does the tan-white tumor fill most of the medullary cavity of the metaphysis and proximal diaphysis?,yes
image365,Do the opened up chambers of the heart show a communication in the inter-ventricular septum superiorly white arrow?,yes
image365,Do the myocardial muscle fibres show a communication in the inter-ventricular septum superiorly white arrow?,no
image366,Does esions stain show condensation of reticulin around the vessel wall but not between the proliferating cells?,no
image366,Does Reticulin stain show condensation of reticulin around the vessel wall but not between the proliferating cells?,yes
image366,Are large cystic spaces lined by the flattened endothelial cells and containing lymph line by multiple layers of plump endothelial cells having minimal mitotic activity obliterating the lumina?,no
image366,Are the vascular channels lined by multiple layers of plump endothelial cells having minimal mitotic activity obliterating the lumina?,yes
image367,"Does there show a cystic space containing cell debris, while the surrounding zone shows granulation tissue and gliosis?",no
image367,Does the interface between viable and non-viable area show granulation tissue and gliosis?,no
image367,"Does the necrosed area on right side of the field show a cystic space containing cell debris, while the surrounding zone shows granulation tissue and gliosis?",yes
image367,Does the surrounding zone show granulation tissue and gliosis?,yes
image368,What is there of septal walls while the air spaces contain pale oedema fluid and a few red cells?,congestion
image368,Is there congestion of septal walls while the air spaces contain pale oedema fluid and a few red cells?,yes
image368,Is a congestion of septal walls while the air spaces contain pale oedema fluid and a few red cells?,no
image368,Do common locations and the regions of involvement contain pale oedema fluid and a few red cells?,no
image368,Do the air spaces contain pale oedema fluid and a few red cells?,yes
image369,Is some degenerate forms appearing as bare smudged nuclei?,yes
image369,Is the sectioned surface degenerate forms appearing as bare smudged nuclei?,no
image369,Is there large excess of mature and small differentiated lymphocytes?,yes
image369,Is the cytoplasm large excess of mature and small differentiated lymphocytes?,no
image369,How many degenerated forms appearing as bare smudged nuclei?,some
image370,What is involved in oedema by sodium and water retention?,mechanisms
image370,What is mechanisms involved in by sodium and water retention?,oedema
image370,Is mechanisms involved in oedema by sodium and water retention?,yes
image370,Are layers of squamous epithelium involved in oedema by sodium and water retention?,no
image371,"Does the space between the layers of the pericardium contain numerous inflammatory cells, chiefly pmns?",yes
image371,Is the epidermis covered with pink serofibrinous exudates?,no
image371,Is the pericardium covered with pink serofibrinous exudates?,yes
image371,"Do large cystic spaces lined by the flattened endothelial cells and containing lymph contain numerous inflammatory cells, chiefly pmns?",no
image372,Did serum electrophoresis show normal serum pattern?,yes
image372,Did iron show normal serum pattern?,no
image373,Does the pleural surface of the specimen of the lung show serofibrinous exudate?,yes
image373,Is the shift of the curve to higher oxygen delivery spongy?,no
image373,Is the intervening lung spongy?,yes
image373,Does nuclei show serofibrinous exudate?,no
image374,Are large cystic spaces lined by the flattened endothelial cells and containing lymph present?,yes
image374,Does an intimal tear show scattered collection of lymphocytes?,no
image374,Does stroma show scattered collection of lymphocytes?,yes
image374,What shows scattered collection of lymphocytes?,stroma
image375,"Are some alveoli collapsed,  while others are distended?",yes
image375,"Is a prolymphocyte, a larger cell with a centrally placed nucleolus,  lined by bright pink hyaline membranes?",no
image375,What are lined by bright pink hyaline membranes?,alveoli
image375,Are the principal cellular alterations that characterize reversible cell injury and necrosis distended?,no
image376,Are the alveolar capillaries congested?,yes
image376,Are many of the hepatocytes congested?,no
image376,"Do the alveolar spaces as well as interstitium contain eosinophilic, granular, homogeneous and pink proteinaceous oedema fluid along with some rbcs and inflammatory cells?",yes
image376,"Do the nuclei of affected tubules contain eosinophilic, granular, homogeneous and pink proteinaceous oedema fluid along with some rbcs and inflammatory cells?",no
image377,Does platelet aggregation show proliferation of moderately pleomorphic anaplastic cells?,no
image377,Do the tumour cells show proliferation of moderately pleomorphic anaplastic cells?,yes
image377,"Do these tumour cells show positive staining for endothelial marker, CD34?",yes
image378,Have these cells marked cytologic atypia including mitoses?,no
image378,Have layers of squamous epithelium marked cytologic atypia including mitoses?,yes
image379,"Is there central caseation necrosis, surrounded by elongated epithelioid cells having characteristic slipper-shaped nuclei, with interspersed langhans ' giant cells?",yes
image379,"Is part of the oesophagus which is normally lined by squamous epithelium central caseation necrosis, surrounded by elongated epithelioid cells having characteristic slipper-shaped nuclei, with interspersed langhans ' giant cells?",no
image379,What does periphery show?,lymphocytes
image379,Does periphery show lymphocytes?,yes
image379,What shows lymphocytes?,periphery 
image379,Does the colour of sectioned surface show lymphocytes?,no
image380,Does section of matted mass of lymph nodes show merging capsules and large areas of caseation necrosis ?,yes
image380,Does a cut section of matted mass of lymph nodes show merging capsules and large areas of caseation necrosis ?,yes
image380,Does sectioned slice of the liver cut section of matted mass of lymph nodes show merging capsules and large areas of caseation necrosis ?,no
image380,Does the nuclei show merging capsules and large areas of caseation necrosis ?,no
image381,Is carcinomatous tissue caused by trabecular compression fractures without repair?,no
image381,Is the space between the overlying articular cartilage and bone caused by trabecular compression fractures without repair?,yes
image382,Is the distal hepatic tissue stain modified?,no
image382,Is polymyositis characterized by endomysial inflammatory infiltrates and myofiber necrosis (arrow)?,yes
image382,Is the gland characterized by endomysial inflammatory infiltrates and myofiber necrosis (arrow)?,no
image382,Does dermatomyositis show prominent perifascicular and paraseptal atrophy?,yes
image382,What is characterized by endomysial inflammatory infiltrates and myofiber necrosis (arrow)?,polymyositis
image382,Is gomori trichrome stain modified?,yes
image382,What shows prominent perifascicular and paraseptal atrophy?,dermatomyositis
image382,Does schematic diagram of intimal thickening show prominent perifascicular and paraseptal atrophy?,no
image383,"Is alveolar rhabdomyosarcoma with numerous spaces lined by discohesive,  uniform round tumor cells?",yes
image383,What is alveolar rhabdomyosarcoma with numerous spaces lined by?,discohesive
image383,"Are normal marrow cells lined by discohesive,  uniform round tumor cells?",no
